Consumer prices (% yoy)***,3Q23,4Q23,1Q24,2Q24,,3Q24,,4Q24,,1Q25,2Q25,3Q25,4Q25
US,3.5,3.2,3.2,3.2,,2.6,,2.3,,1.8,1.6,1.8,2.1
Core rate (ex food & energy),4.4,4.0,3.8,3.4,,3.2,,3.0,,2.4,2.1,2.1,2.2
Euro Area,5.0,2.7,2.6,2.5,,2.2,,2.1,,1.9,1.7,1.8,1.9
Germany,5.6,3.6,2.5,2.3,,1.9,,2.0,,1.7,1.3,1.5,1.7
France,4.7,3.7,2.8,2.2,,1.8,,1.2,,1.2,1.2,1.3,1.6
Italy,5.6,1.0,0.9,0.8,,1.0,,1.3,,1.5,1.8,1.8,1.9
Spain,2.6,3.3,3.2,3.6,,2.3,,2.3,,1.9,1.2,1.2,1.3
Austria,6.8,5.4,4.3,3.3,,2.3,,2.3,,2.5,2.2,2.0,2.0
UK,6.7,4.2,3.5,2.1,,2.1,,2.4,,2.2,1.8,1.9,1.8
Switzerland,1.6,1.6,1.2,1.4,,1.1,,0.9,,0.6,0.2,0.4,0.6
Sweden,5.0,3.3,2.7,2.0,,1.7,,1.7,,1.6,1.4,1.4,1.6
Norway,4.5,4.5,4.4,3.1,,2.7,,2.7,,2.7,2.2,1.8,1.8
"Poland, eop",8.2,6.2,2.0,2.6,,4.9,,5.0,,6.0,5.4,4.4,4.2
"Czechia, eop",6.9,6.9,2.0,2.0,,2.6,,3.0,,2.4,3.1,2.7,2.7
"Hungary, eop",12.2,5.5,3.6,3.7,,3.0,,4.3,,3.7,4.6,3.6,3.7
"Turkey, eop",61.5,64.8,68.5,71.6,,49.4,,44.0,,36.3,32.0,27.3,26.0
