EUR,Current,4Q24,1Q25,2Q25,3Q25,4Q25,3M,6M,12M
EUR-USD,1.08,1.11,1.11,1.12,1.12,1.13,1.11,1.11,1.12
EUR-CHF,0.94,0.95,0.96,0.97,0.98,0.99,0.95,0.96,0.98
EUR-GBP,0.83,0.85,0.85,0.87,0.88,0.90,0.85,0.86,0.89
EUR-JPY,165,158,157,155,153,153,158,156,153
EUR-NOK,11.85,11.65,11.60,11.55,11.50,11.45,11.63,11.58,11.48
EUR-SEK,11.45,11.25,11.20,11.15,11.10,11.10,11.23,11.18,11.10
EUR-AUD,1.63,1.63,1.61,1.60,1.60,1.59,1.62,1.61,1.60
EUR-NZD,1.81,1.76,1.73,1.72,1.72,1.71,1.75,1.73,1.72
EUR-CAD,1.50,1.50,1.49,1.49,1.48,1.47,1.50,1.49,1.48
EUR TWI,97.2,97.3,97.4,97.6,97.8,98.1,97.4,97.5,97.9
EUR-PLN,4.35,4.35,4.39,4.44,4.48,4.50,4.36,4.41,4.49
EUR-HUF,404,400,402,409,411,413,401,404,412
EUR-CZK,25.24,25.10,25.00,24.90,24.80,24.70,25.07,24.97,24.77
EUR-TRY,37.19,41.07,43.57,46.48,47.32,50.29,41.90,44.54,48.31
EUR-CNY,7.71,7.86,7.83,7.86,7.84,7.91,7.85,7.84,7.86
